yield,dose N,dose P,dose K,pH,prec 1,prec 2,prec 3,prec 4,prec 5,temp 1,temp 2,temp 3,temp 4,temp 5,soil P,soil K,soil Ca,soil Mg
1591,30,8.73362445414847,25,4.56,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.100000000000001e-5,1.1600000000000003e-4,2.78e-4,3.0000000000000035e-5
901,9,8.73362445414847,25,4.7,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.3000000000000014e-5,7.000000000000009e-5,4.470000000000004e-4,5.7000000000000064e-5
1538,60,8.73362445414847,25,4.62,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3E-05,5.5000000000000016e-5,2.94e-4,2.300000000000002e-5
2622,21,8.73362445414847,25,4.56,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.400000000000003e-5,1.8600000000000043e-4,9.800000000000015e-4,8.500000000000021e-5
2805,0,8.73362445414847,25,4.63,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.699999999999997e-5,1.2099999999999999e-4,7.169999999999995e-4,6.200000000000002e-5
4191,45,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.1000000000000006e-5,9.000000000000009e-5,3.2100000000000016e-4,2.3000000000000024e-5
2627,15,8.73362445414847,25,4.73,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.399999999999999e-5,7.700000000000004e-5,4.700000000000003e-4,4.400000000000005e-5
910,0,0,0,4.76,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.299999999999993e-5,1.0499999999999996e-4,7.030000000000004e-4,6.900000000000006e-5
1813,15,8.73362445414847,25,4.32,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.8000000000000012e-4,1.7900000000000015e-4,0.0010480000000000005,9.100000000000007e-5
2697,90,8.73362445414847,25,4.42,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.290000000000001e-4,1.010000000000001e-4,4.370000000000001e-4,3.700000000000004e-5
2677,30,8.73362445414847,25,4.72,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.930000000000003e-4,5.3000000000000055e-5,2.7300000000000035e-4,2.2000000000000047e-5
3786,21,8.73362445414847,25,4.71,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.760000000000001e-4,9.700000000000014e-5,5.51000000000001e-4,4.600000000000007e-5
1158,0,0,0,4.73,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.899999999999993e-5,7.999999999999991e-5,2.2099999999999984e-4,2.1e-5
1619,90,8.73362445414847,25,4.1,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.0300000000000002e-4,1.940000000000001e-4,3.730000000000001e-4,2.5000000000000005e-5
1073,15,8.73362445414847,25,4.87,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.8000000000000015e-5,6.1000000000000005e-05,1.1399999999999997e-4,1.2999999999999998e-5
2363,30,8.73362445414847,25,4.86,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.0100000000000011e-4,1.4100000000000015e-4,4.470000000000005e-4,4.500000000000004e-5
5307,21,8.73362445414847,25,4.11,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.4e-5,2.200000000000001e-4,3.169999999999998e-4,3.499999999999999e-5
4651,21,8.73362445414847,25,4.46,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.2e-5,1.1300000000000006e-4,5.52e-4,4.7000000000000024e-5
1667,30,8.73362445414847,25,4.59,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.100000000000002e-5,9.600000000000004e-5,4.6700000000000024e-4,4.200000000000003e-5
3367,15,8.73362445414847,25,4.55,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.200000000000004e-5,1.1500000000000011e-4,3.72e-4,3.100000000000005e-5
1292,0,8.73362445414847,25,4.61,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.700000000000011e-5,1.2000000000000027e-4,3.1600000000000074e-4,4.100000000000011e-5
916,60,8.73362445414847,25,4.15,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.800000000000009e-5,2.0400000000000016e-4,8.580000000000008e-4,1.0200000000000012e-4
777,9,8.73362445414847,25,4.5,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.2600000000000016e-4,9.40000000000001e-5,3.480000000000005e-4,3.500000000000006e-5
870,45,8.73362445414847,25,4.76,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.0999999999999999e-4,8.599999999999992e-5,6.429999999999994e-4,3.3000000000000016e-5
1588,45,8.73362445414847,25,4.15,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.9e-5,1.5000000000000004e-4,0.001205,6.800000000000005e-5
3133,30,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.0000000000000063e-05,8.500000000000018e-5,2.1500000000000024e-4,2.5000000000000052e-5
1667,0,0,0,4.98,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.700000000000004e-5,9.700000000000008e-5,3.44e-4,4.500000000000003e-5
3413,9,8.73362445414847,25,4.93,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.5999999999999988e-4,6.999999999999998e-5,2.4399999999999994e-4,3.4e-5
2879,90,8.73362445414847,25,4.87,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.2000000000000044e-5,8.50000000000001e-5,2.970000000000003e-4,2.8000000000000027e-5
1741,15,8.73362445414847,25,4.75,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.600000000000005e-5,2.0100000000000044e-4,0.0012910000000000026,1.6000000000000034e-4
1024,60,8.73362445414847,25,4.3,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.899999999999993e-5,3.699999999999995e-5,1.1199999999999975e-4,7.999999999999988e-6
1491,15,8.73362445414847,25,4.64,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,2.1800000000000026e-4,4.2000000000000025e-5,2.6000000000000014e-4,2.300000000000002e-5
1090,15,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.6500000000000005e-4,7.600000000000003e-5,3.900000000000002e-4,2.900000000000003e-5
2477,15,8.73362445414847,25,4.48,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.599999999999998e-4,1.4799999999999988e-4,7.969999999999996e-4,7.199999999999997e-5
1285,21,8.73362445414847,25,4.9,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.6900000000000029e-4,8.000000000000009e-5,1.2100000000000018e-4,1.3000000000000021e-5
3153,0,8.73362445414847,25,4.66,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,2.2599999999999988e-4,7.599999999999994e-5,2.1599999999999975e-4,2.4999999999999984e-5
3221,9,8.73362445414847,25,4.65,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.299999999999998e-5,6.899999999999994e-5,7.099999999999994e-5,1.1999999999999995e-5
2605,30,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.2699999999999992e-4,1.2200000000000001e-4,3.3899999999999984e-4,4.1e-5
1623,30,8.73362445414847,25,4.7,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,9.200000000000001e-5,1.8200000000000006e-4,5.220000000000005e-4,4.500000000000003e-5
1794,60,8.73362445414847,25,4.46,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.1800000000000001e-4,1.21e-4,4.4799999999999956e-4,3.5999999999999994e-5
717,0,0,0,4.78,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.1700000000000012e-4,1.0200000000000005e-4,2.8600000000000007e-4,3.400000000000004e-5
1258,90,8.73362445414847,25,4.4,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.320000000000002e-4,5.100000000000008e-5,1.9100000000000017e-4,1.5000000000000031e-5
1138,21,8.73362445414847,25,4.77,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.600000000000005e-5,5.800000000000008e-5,1.560000000000003e-4,2.2000000000000037e-5
3212,21,8.73362445414847,25,3.97,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.89999999999999e-5,1.5399999999999998e-4,5.109999999999996e-4,5.499999999999999e-5
3731,9,8.73362445414847,25,4.52,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.7999999999999994e-5,1.0500000000000002e-4,4.570000000000004e-4,5.2000000000000065e-5
6290,45,8.73362445414847,25,4.16,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.5999999999999986e-5,1.7100000000000004e-4,8.449999999999999e-4,7.8e-5
4098,0,8.73362445414847,25,5.1,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.800000000000016e-5,3.600000000000009e-5,3.4000000000000074e-5,5.000000000000011e-6
3463,0,0,0,5.02,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.900000000000001e-5,7.800000000000003e-5,1.700000000000001e-4,1.9999999999999998e-5
5957,30,8.73362445414847,25,5.1,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.800000000000007e-5,6.200000000000015e-5,1.1900000000000024e-4,1.2000000000000027e-5
5847,15,8.73362445414847,25,4.77,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.100000000000017e-5,6.400000000000009e-5,4.3000000000000053e-4,4.0000000000000085e-5
5065,21,8.73362445414847,25,4.93,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.2200000000000025e-4,6.200000000000011e-5,2.1700000000000026e-4,1.9000000000000028e-5
3896,60,8.73362445414847,25,4.46,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.4700000000000002e-4,3.399999999999999e-5,7.199999999999996e-5,7.000000000000002e-6
4205,30,8.73362445414847,25,4.63,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.9999999999999974e-5,8.100000000000002e-5,1.6499999999999984e-4,1.0999999999999996e-5
6344,90,8.73362445414847,25,4.43,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.699999999999999e-5,6.900000000000004e-5,4.7100000000000006e-4,3.000000000000002e-5
3553,21,8.73362445414847,25,4.81,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.800000000000004e-5,6.700000000000006e-5,1.3400000000000006e-4,1.4000000000000015e-5
3150,30,8.73362445414847,25,4.25,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,2.6999999999999982e-5,2.3199999999999995e-4,0.0013150000000000004,1.2800000000000005e-4
3659,0,0,0,4.7,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.4e-5,1.6900000000000018e-4,5.480000000000005e-4,5.100000000000006e-5
5421,15,8.73362445414847,25,4.43,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.8000000000000017e-5,1.0400000000000014e-4,4.370000000000005e-4,3.5000000000000044e-5
4976,0,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.000000000000004e-5,2.9500000000000045e-4,3.7600000000000014e-4,4.100000000000006e-5
5885,21,8.73362445414847,25,4.79,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,2.4e-5,9.900000000000008e-5,2.470000000000002e-4,2.200000000000002e-5
6591,9,8.73362445414847,25,4.92,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.200000000000007e-5,6.500000000000006e-5,1.8400000000000022e-4,1.600000000000002e-5
5093,60,8.73362445414847,25,4.67,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.6000000000000026e-5,4.500000000000001e-5,1.9000000000000004e-4,1.400000000000001e-5
3658,90,8.73362445414847,25,4.5,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.2600000000000003e-4,3.199999999999999e-5,2.409999999999999e-4,4.1000000000000014e-5
5334,30,8.73362445414847,25,4.85,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.0299999999999998e-4,4.699999999999999e-5,2.5199999999999984e-4,4.6e-5
2612,45,8.73362445414847,25,4.68,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.049999999999999e-4,4.7999999999999954e-5,2.2799999999999982e-4,1.4999999999999989e-5
2086,45,8.73362445414847,25,4.46,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.5999999999999925e-05,1.0299999999999982e-4,5.139999999999994e-4,5.499999999999996e-5
3982,0,0,0,4.46,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.100000000000002e-5,1.2900000000000013e-4,9.440000000000012e-4,1.0700000000000013e-4
5210,0,8.73362445414847,25,4.74,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.299999999999999e-5,1.5699999999999994e-4,8.780000000000003e-4,7.500000000000001e-5
7264,15,8.73362445414847,25,4.67,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.3e-5,2.510000000000001e-4,0.001304000000000001,1.2400000000000011e-4
7769,30,8.73362445414847,25,4.67,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.599999999999996e-5,6.599999999999992e-5,2.8199999999999975e-4,5.0999999999999966e-5
7987,15,8.73362445414847,25,4.79,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.999999999999988e-5,1.799999999999999e-4,0.0014809999999999995,1.5999999999999993e-4
5917,90,8.73362445414847,25,4.57,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.700000000000005e-5,1.4900000000000018e-4,0.0013720000000000017,1.0200000000000012e-4
3277,30,8.73362445414847,25,4.78,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.2000000000000065e-5,1.440000000000002e-4,9.470000000000012e-4,7.200000000000011e-5
